date,cryptopunks
2017-06-30,240
2017-07-01,132
2017-07-02,22
2017-07-03,175
2017-07-04,411
2017-07-05,247
2017-07-06,229
2017-07-07,0
2017-07-14,230
2017-07-15,319
2017-07-16,415
2017-07-17,211
2017-07-18,146
2017-07-19,307
2017-07-20,134
2017-07-21,256
2017-07-22,145
2017-07-23,106
2017-07-24,42
2017-07-25,262
2017-07-26,351
2017-07-27,164
2017-07-28,54
2017-07-29,139
2017-07-30,174
2017-07-31,127
2017-08-01,87
2017-08-02,60
2017-08-03,59
2017-08-04,0
2017-08-11,97
2017-08-12,291
2017-08-13,231
2017-08-14,115
2017-08-15,45
2017-08-16,134
2017-08-17,165
2017-08-18,0
2017-09-29,53
2017-09-30,214
2017-10-01,173
2017-10-02,112
2017-10-03,49
2017-10-04,51
2017-10-05,107
2017-10-06,228
2017-10-07,244
2017-10-08,33
2017-10-09,228
2017-10-10,171
2017-10-11,211
2017-10-12,52
2017-10-13,367
2017-10-14,207
2017-10-15,247
2017-10-16,140
2017-10-17,191
2017-10-18,243
2017-10-19,276
2017-10-20,0
2017-10-27,202
2017-10-28,45
2017-10-29,134
2017-10-30,101
2017-10-31,122
2017-11-01,258
2017-11-02,138
2017-11-03,298
2017-11-04,562
2017-11-05,173
2017-11-06,196
2017-11-07,154
2017-11-08,254
2017-11-09,390
2017-11-10,70
2017-11-24,156
2017-11-25,172
2017-11-26,303
2017-11-27,169
2017-11-28,87
2017-11-29,176
2017-11-30,184
2017-12-01,71
2017-12-02,52
2017-12-03,82
2017-12-04,251
2017-12-05,252
2017-12-06,14
2017-12-07,143
2017-12-08,0
2017-12-15,360
2017-12-16,212
2017-12-17,295
2017-12-18,101
2017-12-19,163
2017-12-20,94
2017-12-21,170
2017-12-22,106
2017-12-23,132
2017-12-24,188
2017-12-25,173
2017-12-26,257
2017-12-27,116
2017-12-28,162
2017-12-29,93
2017-12-30,208
2017-12-31,60
2018-01-01,136
2018-01-02,74
2018-01-03,103
2018-01-04,39
2018-01-05,206
2018-01-06,197
2018-01-07,117
2018-01-08,192
2018-01-09,310
2018-01-10,161
2018-01-11,178
2018-01-12,0
2018-01-19,272
2018-01-20,321
2018-01-21,207
2018-01-22,154
2018-01-23,173
2018-01-24,143
2018-01-25,194
2018-01-26,171
2018-01-27,91
2018-01-28,199
2018-01-29,123
2018-01-30,140
2018-01-31,116
2018-02-01,63
2018-02-02,292
2018-02-03,166
2018-02-04,362
2018-02-05,156
2018-02-06,96
2018-02-07,326
2018-02-08,191
2018-02-09,107
2018-02-10,230
2018-02-11,93
2018-02-12,161
